month,business_unit,aws_service,total_cost_usd,waste_amount_usd,optimized_cost,region,environment
2024-07,HR Operations,Load Balancer,33.34,6.6,26.74,us-west-2,production
2024-07,Supply Chain,EC2 Compute,1364.69,346.63,1018.06,us-west-2,production
2024-07,Supply Chain,EKS Cluster,871.69,292.02,579.67,us-west-2,production
2024-07,Supply Chain,RDS Database,401.26,96.7,304.56,us-west-2,production
2024-07,Supply Chain,S3 Storage,142.7,43.1,99.6,us-east-1,staging
2024-07,Supply Chain,Lambda,101.45,13.19,88.26,eu-west-1,production
2024-07,Supply Chain,Data Transfer,125.46,44.91,80.55,us-west-2,production
2024-07,Supply Chain,CloudWatch,42.81,6.16,36.65,us-west-2,staging
2024-07,Supply Chain,Load Balancer,69.6,15.87,53.73,us-west-2,production
2024-07,Customer Service,EC2 Compute,708.32,131.75,576.57,us-west-2,production
2024-07,Customer Service,EKS Cluster,707.93,194.68,513.25,us-west-2,production
2024-07,Customer Service,RDS Database,351.59,83.33,268.26,us-west-2,dev
2024-07,Customer Service,S3 Storage,129.26,27.14,102.12,us-east-1,production
2024-07,Customer Service,Lambda,71.95,26.19,45.76,us-east-1,staging
2024-07,Customer Service,Data Transfer,92.15,31.52,60.63,us-west-2,production
2024-07,Customer Service,CloudWatch,35.71,11.68,24.03,eu-west-1,production
2024-07,Customer Service,Load Balancer,66.5,8.51,57.99,us-east-1,production
2024-07,IT Infrastructure,EC2 Compute,453.38,122.41,330.97,us-west-2,production
2024-07,IT Infrastructure,EKS Cluster,406.31,80.86,325.45,us-east-1,production
2024-07,IT Infrastructure,RDS Database,215.6,26.3,189.3,us-west-2,production
2024-07,IT Infrastructure,S3 Storage,72.14,18.9,53.24,us-east-1,production
2024-07,IT Infrastructure,Lambda,33.36,8.21,25.15,us-west-2,dev
2024-07,IT Infrastructure,Data Transfer,43.48,4.13,39.35,us-east-1,production
2024-07,IT Infrastructure,CloudWatch,23.84,6.65,17.19,eu-west-1,production
2024-07,IT Infrastructure,Load Balancer,30.33,2.55,27.78,us-east-1,production
2024-07,Compliance & Risk,EC2 Compute,446.13,34.8,411.33,us-east-1,production
2024-07,Compliance & Risk,EKS Cluster,344.77,54.13,290.64,us-west-2,production
2024-07,Compliance & Risk,RDS Database,205.76,14.81,190.95,us-east-1,production
2024-07,Compliance & Risk,S3 Storage,67.96,15.49,52.47,us-east-1,production
2024-07,Compliance & Risk,Lambda,19.44,3.11,16.33,us-east-1,dev
2024-07,Compliance & Risk,Data Transfer,57.79,15.49,42.3,us-east-1,staging
2024-07,Compliance & Risk,CloudWatch,20.74,4.89,15.85,eu-west-1,production
2024-07,Compliance & Risk,Load Balancer,31.76,8.83,22.93,us-west-2,production
2024-08,Finance Automation,EC2 Compute,1336.85,401.05,935.8,us-west-2,production
2024-08,Finance Automation,EKS Cluster,897.66,280.07,617.59,eu-west-1,production
2024-08,Finance Automation,RDS Database,533.55,201.68,331.87,eu-west-1,production
2024-08,Finance Automation,S3 Storage,198.19,65.01,133.18,us-west-2,production
2024-08,Finance Automation,Lambda,115.73,10.65,105.08,us-east-1,staging
2024-08,Finance Automation,Data Transfer,148.68,42.23,106.45,us-west-2,production
2024-08,Finance Automation,CloudWatch,58.8,4.65,54.15,eu-west-1,production
2024-08,Finance Automation,Load Balancer,80.05,12.09,67.96,us-west-2,production
2024-08,HR Operations,EC2 Compute,625.53,220.81,404.72,us-west-2,dev
2024-08,HR Operations,EKS Cluster,560.61,185.56,375.05,us-west-2,dev
2024-08,HR Operations,RDS Database,252.2,44.39,207.81,us-east-1,staging
2024-08,HR Operations,S3 Storage,85.88,27.14,58.74,us-east-1,production
2024-08,HR Operations,Lambda,45.26,4.84,40.42,us-east-1,production
2024-08,HR Operations,Data Transfer,59.24,22.04,37.2,us-east-1,staging
2024-08,HR Operations,CloudWatch,26.41,6.6,19.81,us-east-1,production
2024-08,HR Operations,Load Balancer,41.84,9.04,32.8,us-west-2,production
2024-08,Supply Chain,EC2 Compute,954.25,56.3,897.95,us-west-2,dev
2024-08,Supply Chain,EKS Cluster,773.37,178.65,594.72,eu-west-1,production
2024-08,Supply Chain,RDS Database,461.73,90.04,371.69,us-west-2,production
2024-08,Supply Chain,S3 Storage,142.6,17.25,125.35,us-east-1,production
2024-08,Supply Chain,Lambda,82.14,5.67,76.47,eu-west-1,production
2024-08,Supply Chain,Data Transfer,149.89,41.82,108.07,eu-west-1,production
2024-08,Supply Chain,CloudWatch,46.7,12.98,33.72,us-west-2,production
2024-08,Supply Chain,Load Balancer,69.51,26.34,43.17,us-east-1,production
2024-08,Customer Service,EC2 Compute,1026.85,230.01,796.84,us-west-2,production
2024-08,Customer Service,EKS Cluster,531.94,182.46,349.48,us-west-2,production
2024-08,Customer Service,RDS Database,340.66,110.03,230.63,us-east-1,staging
2024-08,Customer Service,S3 Storage,117.79,6.36,111.43,us-west-2,production
2024-08,Customer Service,Lambda,61.3,13.92,47.38,us-west-2,production
2024-08,Customer Service,Data Transfer,106.11,13.79,92.32,eu-west-1,staging
2024-08,Customer Service,CloudWatch,39.64,3.41,36.23,us-west-2,production
2024-08,Customer Service,Load Balancer,61.51,20.24,41.27,us-west-2,production
2024-08,IT Infrastructure,EC2 Compute,448.33,131.36,316.97,us-west-2,production
2024-08,IT Infrastructure,EKS Cluster,321.42,57.86,263.56,us-west-2,staging
2024-08,IT Infrastructure,RDS Database,197.62,54.74,142.88,us-west-2,production
2024-08,IT Infrastructure,S3 Storage,75.66,24.74,50.92,us-west-2,dev
2024-08,IT Infrastructure,Lambda,60.71,16.27,44.44,us-east-1,production
2024-08,IT Infrastructure,Data Transfer,50.62,12.81,37.81,us-west-2,production
2024-08,IT Infrastructure,CloudWatch,22.65,4.96,17.69,us-east-1,production
2024-08,IT Infrastructure,Load Balancer,30.5,2.38,28.12,us-east-1,production
2024-08,Compliance & Risk,EC2 Compute,369.06,60.89,308.17,us-east-1,production
2024-08,Compliance & Risk,EKS Cluster,317.67,35.26,282.41,us-west-2,production
2024-08,Compliance & Risk,RDS Database,228.61,31.32,197.29,us-west-2,production
2024-08,Compliance & Risk,S3 Storage,74.51,27.49,47.02,us-west-2,staging
2024-08,Compliance & Risk,Lambda,25.42,3.0,22.42,us-west-2,production
2024-08,Compliance & Risk,Data Transfer,68.22,20.88,47.34,us-east-1,production
2024-08,Compliance & Risk,CloudWatch,21.19,7.9,13.29,us-east-1,production
2024-08,Compliance & Risk,Load Balancer,35.19,10.45,24.74,us-east-1,production
2024-09,Finance Automation,EC2 Compute,1296.52,461.56,834.96,us-west-2,production
2024-09,Finance Automation,EKS Cluster,921.09,177.77,743.32,us-west-2,production
2024-09,Finance Automation,RDS Database,584.19,200.38,383.81,us-east-1,production
2024-09,Finance Automation,S3 Storage,202.01,64.44,137.57,us-east-1,staging
2024-09,Finance Automation,Lambda,107.64,32.18,75.46,us-west-2,staging
2024-09,Finance Automation,Data Transfer,165.31,47.94,117.37,us-east-1,production
2024-09,Finance Automation,CloudWatch,63.46,23.8,39.66,eu-west-1,production
2024-09,Finance Automation,Load Balancer,81.71,8.5,73.21,us-west-2,staging
2024-09,HR Operations,EC2 Compute,538.13,116.77,421.36,us-east-1,staging
2024-09,HR Operations,EKS Cluster,469.85,107.6,362.25,us-east-1,production
2024-09,HR Operations,RDS Database,266.41,73.8,192.61,us-east-1,production
2024-09,HR Operations,S3 Storage,80.06,24.1,55.96,us-west-2,production
2024-09,HR Operations,Lambda,45.63,14.33,31.3,us-west-2,production
2024-09,HR Operations,Data Transfer,59.3,17.32,41.98,us-east-1,production
2024-09,HR Operations,CloudWatch,28.84,6.72,22.12,us-west-2,staging
2024-09,HR Operations,Load Balancer,37.47,2.32,35.15,us-east-1,production
2024-09,Supply Chain,EC2 Compute,1066.58,168.52,898.06,us-west-2,production
2024-09,Supply Chain,EKS Cluster,845.27,286.55,558.72,eu-west-1,production
2024-09,Supply Chain,RDS Database,531.84,181.89,349.95,us-east-1,production
2024-09,Supply Chain,S3 Storage,157.74,29.34,128.4,us-east-1,production
2024-09,Supply Chain,Lambda,54.6,17.04,37.56,us-west-2,production
2024-09,Supply Chain,Data Transfer,148.21,30.98,117.23,us-east-1,production
2024-09,Supply Chain,CloudWatch,53.89,12.66,41.23,us-east-1,production
2024-09,Supply Chain,Load Balancer,85.81,27.12,58.69,us-west-2,staging
2024-09,Customer Service,EC2 Compute,760.7,52.49,708.21,us-west-2,staging
2024-09,Customer Service,EKS Cluster,658.17,186.92,471.25,us-east-1,production
2024-09,Customer Service,RDS Database,347.4,54.89,292.51,us-west-2,production
2024-09,Customer Service,S3 Storage,130.41,16.04,114.37,us-east-1,staging
2024-09,Customer Service,Lambda,53.73,13.97,39.76,us-east-1,production
2024-09,Customer Service,Data Transfer,130.31,24.11,106.2,us-east-1,production
2024-09,Customer Service,CloudWatch,44.92,4.99,39.93,us-west-2,production
2024-09,Customer Service,Load Balancer,67.73,4.0,63.73,us-west-2,staging
2024-09,IT Infrastructure,EC2 Compute,508.17,75.72,432.45,eu-west-1,production
2024-09,IT Infrastructure,EKS Cluster,288.17,55.33,232.84,us-east-1,staging
2024-09,IT Infrastructure,RDS Database,221.13,44.45,176.68,us-west-2,production
2024-09,IT Infrastructure,S3 Storage,71.21,5.48,65.73,us-east-1,production
2024-09,IT Infrastructure,Lambda,56.78,17.2,39.58,us-west-2,production
2024-09,IT Infrastructure,Data Transfer,52.76,5.01,47.75,us-east-1,production
2024-09,IT Infrastructure,CloudWatch,22.29,3.03,19.26,us-west-2,dev
2024-09,IT Infrastructure,Load Balancer,32.43,4.28,28.15,us-west-2,staging
2024-09,Compliance & Risk,EC2 Compute,628.76,45.27,583.49,us-west-2,production
2024-09,Compliance & Risk,EKS Cluster,353.9,25.13,328.77,eu-west-1,production
2024-09,Compliance & Risk,RDS Database,171.21,28.25,142.96,us-east-1,production
2024-09,Compliance & Risk,S3 Storage,76.39,20.55,55.84,eu-west-1,production
2024-09,Compliance & Risk,Lambda,24.45,7.11,17.34,eu-west-1,production
2024-09,Compliance & Risk,Data Transfer,52.15,13.87,38.28,us-west-2,production
2024-09,Compliance & Risk,CloudWatch,23.05,5.79,17.26,us-west-2,production
2024-09,Compliance & Risk,Load Balancer,32.93,3.29,29.64,us-west-2,production
2024-10,Finance Automation,EC2 Compute,1462.15,326.06,1136.09,us-west-2,staging
2024-10,Finance Automation,EKS Cluster,1185.17,342.51,842.66,us-west-2,staging
2024-10,Finance Automation,RDS Database,564.76,113.52,451.24,us-west-2,production
2024-10,Finance Automation,S3 Storage,209.22,75.74,133.48,us-east-1,production
2024-10,Finance Automation,Lambda,46.75,12.39,34.36,us-west-2,production
2024-10,Finance Automation,Data Transfer,136.85,29.97,106.88,us-east-1,production
2024-10,Finance Automation,CloudWatch,61.37,6.38,54.99,us-west-2,staging
2024-10,Finance Automation,Load Balancer,87.31,19.3,68.01,us-west-2,staging
2024-10,HR Operations,EC2 Compute,573.03,214.89,358.14,us-east-1,production
2024-10,HR Operations,EKS Cluster,362.66,26.11,336.55,us-west-2,dev
2024-10,HR Operations,RDS Database,255.46,21.71,233.75,us-east-1,staging
2024-10,HR Operations,S3 Storage,103.53,18.22,85.31,us-east-1,dev
2024-10,HR Operations,Lambda,50.35,7.3,43.05,us-east-1,production
2024-10,HR Operations,Data Transfer,54.21,14.04,40.17,us-east-1,production
2024-10,HR Operations,CloudWatch,27.47,2.8,24.67,us-east-1,staging
2024-10,HR Operations,Load Balancer,43.41,6.73,36.68,us-east-1,dev
2024-10,Supply Chain,EC2 Compute,1041.98,115.66,926.32,us-east-1,production
2024-10,Supply Chain,EKS Cluster,778.76,77.88,700.88,us-west-2,production
2024-10,Supply Chain,RDS Database,476.12,175.69,300.43,us-west-2,dev
2024-10,Supply Chain,S3 Storage,175.24,47.31,127.93,us-east-1,production
2024-10,Supply Chain,Lambda,85.56,8.9,76.66,us-west-2,production
2024-10,Supply Chain,Data Transfer,145.46,32.58,112.88,us-east-1,staging
2024-10,Supply Chain,CloudWatch,50.75,5.68,45.07,us-east-1,staging
2024-10,Supply Chain,Load Balancer,71.57,16.32,55.25,us-east-1,production
2024-10,Customer Service,EC2 Compute,1122.28,226.7,895.58,us-west-2,production
2024-10,Customer Service,EKS Cluster,660.11,213.22,446.89,us-west-2,production
2024-10,Customer Service,RDS Database,414.95,34.44,380.51,us-west-2,production
2024-10,Customer Service,S3 Storage,137.58,22.7,114.88,us-west-2,staging
2024-10,Customer Service,Lambda,95.79,15.9,79.89,us-east-1,production
2024-10,Customer Service,Data Transfer,127.34,47.5,79.84,us-east-1,production
2024-10,Customer Service,CloudWatch,38.14,10.53,27.61,us-west-2,production
2024-10,Customer Service,Load Balancer,66.94,22.22,44.72,us-west-2,staging
2024-10,IT Infrastructure,EC2 Compute,583.04,162.67,420.37,us-west-2,production
2024-10,IT Infrastructure,EKS Cluster,311.92,37.43,274.49,us-west-2,production
2024-10,IT Infrastructure,RDS Database,224.88,75.78,149.1,us-east-1,staging
2024-10,IT Infrastructure,S3 Storage,75.07,20.19,54.88,us-west-2,dev
2024-10,IT Infrastructure,Lambda,47.66,4.15,43.51,us-west-2,production
2024-10,IT Infrastructure,Data Transfer,74.01,24.79,49.22,us-west-2,production
2024-10,IT Infrastructure,CloudWatch,22.07,6.49,15.58,eu-west-1,production
2024-10,IT Infrastructure,Load Balancer,33.33,11.1,22.23,us-west-2,dev
2024-10,Compliance & Risk,EC2 Compute,571.02,31.98,539.04,eu-west-1,staging
2024-10,Compliance & Risk,EKS Cluster,399.47,60.32,339.15,us-east-1,production
2024-10,Compliance & Risk,RDS Database,222.35,18.23,204.12,us-west-2,production
2024-10,Compliance & Risk,S3 Storage,81.24,16.65,64.59,us-west-2,production
2024-10,Compliance & Risk,Lambda,30.05,8.86,21.19,us-west-2,dev
2024-10,Compliance & Risk,Data Transfer,48.37,16.01,32.36,us-east-1,production
2024-10,Compliance & Risk,CloudWatch,22.66,7.07,15.59,us-west-2,production
2024-10,Compliance & Risk,Load Balancer,33.09,12.51,20.58,us-east-1,production
2024-11,Finance Automation,EC2 Compute,1195.23,96.81,1098.42,eu-west-1,production
2024-11,Finance Automation,EKS Cluster,1089.25,352.92,736.33,us-east-1,production
2024-11,Finance Automation,RDS Database,481.91,74.7,407.21,us-west-2,staging
2024-11,Finance Automation,S3 Storage,218.97,54.52,164.45,us-east-1,production
2024-11,Finance Automation,Lambda,162.96,39.93,123.03,us-east-1,production
2024-11,Finance Automation,Data Transfer,196.31,42.99,153.32,us-west-2,production
2024-11,Finance Automation,CloudWatch,73.36,26.7,46.66,us-east-1,staging
2024-11,Finance Automation,Load Balancer,94.13,20.43,73.7,us-east-1,production
2024-11,HR Operations,EC2 Compute,532.7,109.74,422.96,us-west-2,production
2024-11,HR Operations,EKS Cluster,381.95,53.85,328.1,eu-west-1,production
2024-11,HR Operations,RDS Database,233.87,58.94,174.93,us-west-2,production
2024-11,HR Operations,S3 Storage,90.39,19.89,70.5,us-west-2,production
2024-11,HR Operations,Lambda,45.93,14.47,31.46,us-east-1,production
2024-11,HR Operations,Data Transfer,62.34,9.16,53.18,eu-west-1,production
2024-11,HR Operations,CloudWatch,28.17,2.48,25.69,us-west-2,production
2024-11,HR Operations,Load Balancer,38.22,12.92,25.3,us-west-2,staging
2024-11,Supply Chain,EC2 Compute,983.54,185.89,797.65,us-west-2,dev
2024-11,Supply Chain,EKS Cluster,680.9,194.74,486.16,us-east-1,production
2024-11,Supply Chain,RDS Database,464.45,62.7,401.75,us-west-2,production
2024-11,Supply Chain,S3 Storage,167.63,46.43,121.2,us-west-2,production
2024-11,Supply Chain,Lambda,42.16,3.79,38.37,us-west-2,staging
2024-11,Supply Chain,Data Transfer,114.93,8.39,106.54,us-west-2,production
2024-11,Supply Chain,CloudWatch,51.51,14.11,37.4,us-west-2,production
2024-11,Supply Chain,Load Balancer,78.14,4.14,74.0,us-east-1,dev
2024-11,Customer Service,EC2 Compute,1080.56,312.28,768.28,us-west-2,dev
2024-11,Customer Service,EKS Cluster,704.22,50.7,653.52,us-west-2,production
2024-11,Customer Service,RDS Database,394.23,57.95,336.28,us-west-2,production
2024-11,Customer Service,S3 Storage,134.74,8.62,126.12,us-west-2,production
2024-11,Customer Service,Lambda,98.29,26.05,72.24,us-east-1,production
2024-11,Customer Service,Data Transfer,91.71,17.61,74.1,us-east-1,production
2024-11,Customer Service,CloudWatch,44.23,8.71,35.52,us-east-1,staging
2024-11,Customer Service,Load Balancer,57.78,19.24,38.54,eu-west-1,production
2024-11,IT Infrastructure,EC2 Compute,585.59,100.72,484.87,us-east-1,staging
2024-11,IT Infrastructure,EKS Cluster,298.84,82.78,216.06,us-west-2,production
2024-11,IT Infrastructure,RDS Database,200.17,68.86,131.31,us-west-2,production
2024-11,IT Infrastructure,S3 Storage,74.83,4.34,70.49,us-east-1,production
2024-11,IT Infrastructure,Lambda,35.65,6.6,29.05,us-west-2,production
2024-11,IT Infrastructure,Data Transfer,56.72,14.18,42.54,us-west-2,production
2024-11,IT Infrastructure,CloudWatch,23.14,6.41,16.73,us-west-2,production
2024-11,IT Infrastructure,Load Balancer,35.02,2.07,32.95,us-west-2,dev
2024-11,Compliance & Risk,EC2 Compute,472.15,28.33,443.82,us-west-2,production
2024-11,Compliance & Risk,EKS Cluster,373.23,21.65,351.58,us-east-1,production
2024-11,Compliance & Risk,RDS Database,229.45,20.19,209.26,eu-west-1,production
2024-11,Compliance & Risk,S3 Storage,74.52,25.56,48.96,us-east-1,staging
2024-11,Compliance & Risk,Lambda,40.37,7.15,33.22,us-west-2,production
2024-11,Compliance & Risk,Data Transfer,62.49,6.31,56.18,us-east-1,production
2024-11,Compliance & Risk,CloudWatch,24.07,4.69,19.38,us-west-2,production
2024-11,Compliance & Risk,Load Balancer,35.7,4.07,31.63,us-west-2,production
